Internações SUS
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2008-2016
"Munic Resid SP";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"Total"
"355590 Uru";1;1;0;0;0;0;0;0;0;2
"355600 Urupês";2;0;0;0;0;0;0;0;0;2
"355610 Valentim Gentil";1;3;4;2;1;0;2;1;0;14
"355620 Valinhos";0;1;1;0;0;0;0;0;0;2
"355630 Valparaíso";0;0;0;0;0;1;0;0;0;1
"355645 Vargem Grande Paulista";0;0;0;0;0;0;0;0;1;1
"355650 Várzea Paulista";1;0;0;0;1;1;0;2;0;5
"355670 Vinhedo";1;0;0;2;0;0;0;0;0;3
"355690 Vista Alegre do Alto";0;0;0;0;0;1;0;0;0;1
"355695 Vitória Brasil";1;0;0;1;3;0;0;0;0;5
"355710 Votuporanga";24;48;49;15;15;12;7;6;3;179
"355715 Zacarias";0;0;0;0;0;0;1;0;0;1
"Total";1665;1551;1726;1237;1377;960;1061;718;930;11225
 Fonte: SESSP/SIH-SUS - Sistema de Informações Hospitalares do SUS
 
