Internações SUS 
AIHs PagasPermanência por Munic Resid SP
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2005
"Munic Resid SP";"AIHs_Pagas";"Permanência"
"352270 Itápolis";145;477
"352290 Itapuí";1;3
"352300 Itapura";23;102
"352310 Itaquaquecetuba";42;191
"352330 Itariri";3;10
"352340 Itatiba";136;364
"352350 Itatinga";28;98
"352360 Itirapina";1;8
"352370 Itirapuã";1;3
"352390 Itu";10;51
"352410 Ituverava";344;819
"352420 Jaborandi";6;26
"352440 Jacareí";26;89
"352450 Jaci";5;11
"352470 Jaguariúna";5;10
"352500 Jandira";321;943
"352510 Jardinópolis";4;48
"352520 Jarinu";6;10
"352530 Jaú";14;39
"352540 Jeriquara";4;10
"352550 Joanópolis";9;36
"352560 João Ramalho";1;5
"352570 José Bonifácio";19;55
"352585 Jumirim";6;22
"352590 Jundiaí";10;32
"352610 Juquiá";18;51
"352640 Laranjal Paulista";229;666
"352650 Lavínia";6;18
"352660 Lavrinhas";25;78
"352670 Leme";88;252
"352680 Lençóis Paulista";78;233
"352690 Limeira";5;18
"352700 Lindóia";21;58
"352710 Lins";141;540
"352720 Lorena";840;2964
"352725 Lourdes";2;4
"352730 Louveira";52;124
"352740 Lucélia";8;80
"352750 Lucianópolis";4;12
"352790 Lutécia";25;69
"352800 Macatuba";1;4
"352820 Macedônia";5;20
"352840 Mairinque";25;109
"352850 Mairiporã";28;94
"352860 Manduri";33;101
"352870 Marabá Paulista";8;26
"352880 Maracaí";115;439
"352885 Marapoama";1;4
"352900 Marília";7;27
"352910 Marinópolis";2;4
"352920 Martinópolis";3;10
"352940 Mauá";4;22
"352960 Meridiano";19;57
"352970 Miguelópolis";66;181
"353000 Mira Estrela";11;36
"352990 Miracatu";7;25
"353010 Mirandópolis";46;220
"353020 Mirante do Paranapanema";5;29
"353030 Mirassol";13;60
"353050 Mococa";135;429
"353060 Mogi das Cruzes";152;756
"353070 Mogi Guaçu";309;1004
"353080 Moji Mirim";114;437
"353090 Mombuca";39;243
"353110 Mongaguá";92;344
"353120 Monte Alegre do Sul";1;7
"353130 Monte Alto";4;16
"353150 Monte Azul Paulista";90;275
"353160 Monte Castelo";60;191
"353180 Monte Mor";10;32
"353190 Morro Agudo";4;10
"353200 Morungaba";18;46
"353210 Murutinga do Sul";1;3
"353220 Narandiba";2;5
"353230 Natividade da Serra";2;6
"353240 Nazaré Paulista";19;76
"353290 Nova Europa";5;15
"353310 Nova Guataporanga";36;124
"353340 Nova Odessa";43;113
"353325 Novais";1;7
"353350 Novo Horizonte";144;574
"353360 Nuporanga";6;33
"353380 Óleo";1;4
"353390 Olímpia";622;1904
"353430 Orlândia";5;30
"353440 Osasco";37;100
"353470 Ourinhos";11;26
"353480 Ouro Verde";1;3
"353500 Palestina";1;5
"353510 Palmares Paulista";28;112
"353520 Palmeira d'Oeste";56;135
"353530 Palmital";193;767
"353540 Panorama";79;321
"353550 Paraguaçu Paulista";339;1158
"353570 Paraíso";4;14
"353580 Paranapanema";9;29
"353600 Parapuã";2;7
"353610 Pardinho";1;2
"353625 Parisi";5;16
"353640 Paulicéia";19;80
"353650 Paulínia";2;8
"353657 Paulistânia";2;6
"353660 Paulo de Faria";1;8
"353690 Pedranópolis";3;11
"353700 Pedregulho";13;44
"353710 Pedreira";49;104
"353715 Pedrinhas Paulista";10;34
"353720 Pedro de Toledo";3;8
"353730 Penápolis";25;90
"353740 Pereira Barreto";377;1235
"353750 Pereiras";23;76
"353760 Peruíbe";125;414
"353770 Piacatu";40;101
"353780 Piedade";301;1349
"353790 Pilar do Sul";178;648
"353800 Pindamonhangaba";1;3
"353810 Pindorama";6;22
"353830 Piquerobi";6;15
"353850 Piquete";57;206
"353860 Piracaia";59;289
"353870 Piracicaba";92;398
"353880 Piraju";287;1081
"353890 Pirajuí";132;382
"353900 Pirangi";83;284
"353910 Pirapora do Bom Jesus";2;6
"353920 Pirapozinho";5;31
"353930 Pirassununga";64;231
"353940 Piratininga";2;4
"353960 Planalto";5;13
"353970 Platina";27;97
"353980 Poá";23;132
"354010 Pongaí";11;36
"354025 Pontalinda";2;3
"354040 Populina";3;14
"354050 Porangaba";5;15
"354060 Porto Feliz";414;1111
"354070 Porto Ferreira";3;31
"354075 Potim";7;24
"354080 Potirendaba";21;64
"354085 Pracinha";1;2
"354090 Pradópolis";2;8
"354100 Praia Grande";105;350
"354105 Pratânia";19;103
"354110 Presidente Alves";10;30
"354120 Presidente Bernardes";130;364
"354130 Presidente Epitácio";10;43
"354140 Presidente Prudente";326;911
"354150 Presidente Venceslau";103;287
"354160 Promissão";10;32
