Internações SUS 
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2007
"Munic Resid SP";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"354165 Quadra";3;0;4;0;1;0;1;0;9
"354170 Quatá";0;0;0;0;0;1;0;0;1
"354180 Queiroz";3;2;0;1;3;1;0;1;11
"354190 Queluz";11;2;5;3;2;5;3;0;31
"354210 Rafard";2;1;0;0;0;0;0;0;3
"354220 Rancharia";0;1;0;0;0;0;0;0;1
"354240 Regente Feijó";1;0;1;2;24;7;0;0;35
"354250 Reginópolis";2;4;2;1;1;0;2;0;12
"354260 Registro";0;0;0;1;0;0;0;0;1
"354270 Restinga";0;0;0;2;0;1;2;3;8
"354280 Ribeira";1;1;0;0;0;0;0;0;2
"354290 Ribeirão Bonito";1;1;2;4;1;1;0;0;10
"354300 Ribeirão Branco";54;41;3;0;0;0;0;0;98
"354310 Ribeirão Corrente";0;0;0;0;2;0;0;0;2
"354323 Ribeirão dos Índios";0;0;0;2;0;0;0;0;2
"354325 Ribeirão Grande";3;4;0;0;0;0;0;0;7
"354330 Ribeirão Pires";0;0;26;41;7;9;14;13;110
"354340 Ribeirão Preto";15;8;8;11;13;28;6;11;100
"354360 Rifaina";1;3;1;0;0;1;0;0;6
"354370 Rincão";0;0;0;0;0;0;1;0;1
"354380 Rinópolis";0;1;3;18;2;0;2;1;27
"354400 Rio das Pedras";72;64;14;13;7;9;24;20;223
"354410 Rio Grande da Serra";0;0;1;2;6;0;1;1;11
"354420 Riolândia";0;1;0;0;0;0;2;0;3
"354425 Rosana";0;0;0;7;1;1;0;0;9
"354460 Sabino";2;1;5;1;0;0;4;0;13
"354480 Sales";1;3;0;2;2;1;1;1;11
"354490 Sales Oliveira";2;0;0;0;0;1;0;1;4
"354500 Salesópolis";0;1;0;0;0;0;0;0;1
"354520 Salto";43;43;11;15;1;0;1;0;114
"354530 Salto de Pirapora";0;1;0;0;1;0;9;13;24
"354550 Sandovalina";0;0;6;1;4;0;0;0;11
"354560 Santa Adélia";11;3;2;0;0;0;0;1;17
"354580 Santa Bárbara d'Oeste";184;190;169;0;0;0;0;0;543
"354600 Santa Branca";8;11;3;1;6;11;0;3;43
"354630 Santa Cruz das Palmeiras";1;73;61;65;50;68;50;32;400
"354640 Santa Cruz do Rio Pardo";0;0;10;1;2;8;1;0;22
"354650 Santa Ernestina";4;7;10;12;7;13;10;2;65
"354680 Santa Isabel";48;76;32;0;0;0;0;1;157
"354710 Santa Mercedes";14;3;2;4;8;8;9;14;62
"354750 Santa Rita do Passa Quatro";0;0;0;0;0;0;0;2;2
"354760 Santa Rosa de Viterbo";6;0;0;1;0;0;1;5;13
"354730 Santana de Parnaíba";0;1;2;1;1;0;0;0;5
"354770 Santo Anastácio";0;0;0;1;5;2;1;0;9
"354780 Santo André";2;0;2;0;0;1;5;4;14
"354800 Santo Antônio de Posse";1;0;0;0;0;0;4;3;8
